Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Hartlepool Borough Council,403.11,70.4,55.81,844.7,285.67,75.58,0,16.33,32.66,0,0,81.74,15.13,1024.87,25.57,0,18.57,326.1,0
Stockton-on-Tees Borough Council,800.2,1423.47,213.33,971.01,407.57,120.84,0.86,6.04,0,0,2.57,0,8.72,0,232,0,27.11,2604.1,0
Cumbria County Council,18.94,496.51,495.06,729.94,1503.14,734.92,15.52,26.76,0,273.44,22.4,3.647,273.74,0,42.24,0,0,2238.42,30.592
Mid Devon District Council,432.4,508.036,78.996,2225.735,0,8.96,0,0,0,0,0,129.56,40.524,33.736,34.29,0,0,0,0
Brentwood Borough Council,468.9,0,5.43,1100.38,0,4.713,0,0,0,0,0,211.216,13.376,1685.96,0,29.983,0,0,0
Basingstoke and Deane Borough Council,966.58,62.51,0,431.24,0,39.336,0,0,0,0,0,3.991,101.575,2246.91,0,46.096,0,0,0
Wychavon District Council,56.59,22.92,1.54,1089.78,0,4.29,0,0,0,0,0,161.71,37.61,3356.32,0,14.2,0,0,0
Tonbridge and Malling Borough Council,567.57,790.7,76.37,3238.62,0,51.32,0,0,0,0,0,0,38.43,0,74.54,0,0,0,0
Wellingborough Borough Council,55.727,0,0,635.04,0,0,0,0,0,0,0,0,55.473,1886.44,0,0,0,0,0
West Somerset District Council,240.723,520.407,39.28,443.17,0,0,0,0,0,0,0,5.884,6.364,0,45.553,5.626,0,0,0
Forest Heath District Council,240.231,64.556,0,1411.34,0,0.727,0,0,0,0,0,215.048,19.299,1027.63,3.16,0,0.284,0,0
Warwickshire County Council,69.12,746.7,264.73,1161.29,1675.49,834.02,14.79,0,0,107.54,11.26,0.4,409.36,0,45.43,27.5,58.28,0,0
St Helens MBC,745.8,1469.7,225.9,2519.14,0,29.5,0,0,0,0,0,110.2,14.2,0,216.3,0,0,948.6,0
Gateshead MBC,59.23,1112.56,117.78,1064.46,0,190.36,3.8,22.88,0,67.05,2.24,0,229.05,3065.12,66.11,0,42.62,311.93,0
Hammersmith and Fulham LB,0,31.69,21.08,123.18,0,67.21,0.02,0.06,0,0,0.44,34.62,61.97,3181.57,2.52,0,0.11,0,0
Wandsworth LB,4.96,73.68,33.26,295.4,0,90.91,0,0.06,0,0,0.75,248.2,85.73,5091.08,0.88,0,0.19,0,0
Slough Borough Council,0,32.16,91.82,928.98,158.84,47.28,1.96,3.24,0,37.46,2.54,0,78.29,2236.66,5.64,0,49.78,46.08,10
Aylesbury Vale District Council,0,0,0,2653.18,0,0,0,1.16,0,0,0,0,45.42,4481.38,0,0,0,0,0
Peterborough City Council,65.44,120.621,86.06,3254.68,482.96,95.86,2.39,0,142.44,50.48,3.33,100.71,54.45,4197.2,0,0,0,138.34,0
Copeland Borough Council,341.92,591.72,66.74,450.2,0,6.285,0,0,0,0,0,93.163,9.66,0,68.44,0,0,0,0
Devon County Council,211.795,1244.215,1075.986,5405.1,3840.46,1723.085,34.409,10.675,0,168.12,20.344,324.948,744.817,0,242.788,0,249.109,1020.972,0
