Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
East Northamptonshire Council,0,0,0,0,1391.4,0,0,0,0,0,0,0,0,0,2315.74,0,0,0,0
Oxford City Council,88.4,12.17,18.24,11.74,2596.51,0,37.88,1.06,0,0,0,0,40.24,166.05,4156.13,0,0,0,0
Somerset County Council,187.29,1105.92,1493.13,17.66,8675.18,1828.93,1211.27,34.6,0,0,52.27,22.3,111.95,244.99,0,0,6.52,0,0
Tameside MBC,0,2056.98,0,0,5741.22,0,10.8,0,0,0,0,0,0,14.183,3238.25,0,0,0,0
Sandwell MBC,26.88,200.52,279.09,1.1,6896.86,1217,221.93,11.03,0,503.8,59.78,5.65,9.36,167.61,6436.32,0,83.26,529.58,0
Bromley LB,342.06,3963.61,279.44,0,6940.18,1091.76,265.74,0,0,0,20.66,5.3,95.04,47.5,3705.45,0,0,0,0
Newham LB,114.6,129.95,194.91,72.18,361.55,746.57,200.6,4.99,11.14,0,34.16,4.11,0,46.07,3151.48,0,0,374.26,2.1
Huntingdonshire District Council,0,2.6,0,0,6608.15,0,0,0,0,0,0,0,4.741,79.51,4042.77,0,0,0,0
Hartlepool Borough Council,36.29,5.93,104.78,56.49,2070.93,382.86,177.01,1.88,2.84,219.58,11.38,0,78.19,10.23,1741,0,9.98,501.36,0
Stockton-on-Tees Borough Council,709.02,1133.25,267.92,247.34,3320.33,309.59,192.65,1.27,15.39,0,0,2.73,0,12.72,0,0,30.54,3121.84,0
Cumbria County Council,28.76,533.936,861.683,26.98,1707.1,2385,961.102,23.133,44.48,0,328.84,16.2,0,94.062,0,0,0,4348.41,0.41
Mid Devon District Council,559.14,709.77,73.04,175.27,2045.64,0,4.06,0,0,0,0,0,0,31.859,41.757,23.851,0,0,0
Brentwood Borough Council,488.8,0,6,0,1465.9,0,8.889,0,0,0,0,0,0,25.916,1358.74,35.267,0,0,0
Basingstoke and Deane Borough Council,1085.72,57.68,1.02,1.73,719.5,0,57.64,0,0,0,0,0,1.37,116.57,2187.12,48.45,6.72,0,0
Wychavon District Council,69.95,32.26,1.43,0,1865.24,0,7.664,0,0,0,0,0,0.86,52.59,3444.7,11.74,0,0,0
Tonbridge and Malling Borough Council,582.43,649.92,86.37,77.84,4454.79,0,59.26,0,0,0,0,0,0,39.99,0,0,0,0,0
Wellingborough Borough Council,27.578,9.78,12,2.78,2095.34,42.76,19.833,0,0,0,0,4.41,0,33.315,1813.92,0,0,68.44,1.259
West Somerset District Council,308.479,427.311,43.626,66.58,540.48,0,0,0,0,0,0,0,19.017,12.885,0,7.833,0,0,0
Forest Heath District Council,250.52,30.91,0,0,984.24,0,0,0,0,0,0,0,0,44.751,1075.46,0,0,0,0
Warwickshire County Council,91.19,959.92,978.27,73.4,2486.72,0,673.62,30.21,0,349.6,153.98,50.93,0.2,598.15,0,49.01,105.67,0,5.85
St Helens MBC,919.8,1312.5,255.6,250.8,4902.4,0,16.09,0,0.34,0,0,0,41.9,7.26,0,0,0,545.1,0
Gateshead MBC,0,988.39,276.17,124.83,3550.03,283.74,274.67,3.85,24.74,0,100.76,3.55,80.73,299.23,3267.14,0,0,969.21,0
Hammersmith and Fulham LB,0,39.62,36.69,0.03,190.96,0,85.8,0.75,0,0,0,0.7,0,11.94,2842.94,6.85,0.1,0,0
Wandsworth LB,0,68.29,60.9,0.05,418.76,0,107.41,1.28,0.4,0,0,1.19,0,137.95,4982.82,16.11,0.18,2.06,0
Slough Borough Council,0,32.14,168.58,6.02,1771.92,177.48,91.385,2.88,3.6,0,23.76,0,0,95.48,2066.76,0,65.18,96.36,17.975
Aylesbury Vale District Council,0,0,0,0.675,4003.7,0,0,0,0.3,0,0,0,0,46.179,4366.75,0,0,0,0
Peterborough City Council,9.92,111.1,279.91,0,4883.16,720.33,146.48,5.52,0,304.34,52.12,5.87,132.85,60.93,4476.2,0,0,157.6,0
Copeland Borough Council,352.36,433.52,63.16,60.18,2091.52,0,6.32,0,0,0,0,0,0,3.54,0,0,0,0,0
