,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
St Edmundsbury Borough Council,550.7439999999999,150.299,0.0,1760.21,3.74,15.73,0.0,0.0,0.0,0.0,0.0,259.962,30.749,2073.93,0.0,0.178,8.36,0.0,0.0
Rugby Borough Council,0.0,0.0,0.0,1492.1399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,5.21,2414.8500000000004,0.0,0.0,0.0,0.0,0.0
Greater Manchester WDA (MBC),0.0,1628.33,2056.24,2299.34,8634.14,2600.2200000000003,61.65,72.46,0.0,626.91,23.41,0.0,630.06,281.5,27.5,13.16,132.66,8298.76,0.0
Greenwich LB,0.0,14.280000000000001,112.02,2472.3199999999997,801.3199999999999,141.26,1.34,5.42,0.0,52.7,1.12,64.31,52.31,5035.21,6.74,27.24,17.1,505.12,0.34
Tower Hamlets LB,0.0,10.36,22.4,238.66,180.5,49.78,0.92,0.0,0.0,0.0,0.32,0.0,94.08,2853.61,0.0,0.0,1.76,0.0,0.0
Bath and North East Somerset Council,1164.33,2252.81,487.33,2586.24,1025.4,283.09,9.4,8.68,0.0,99.02,3.51,17.92,69.54,0.0,9.08,0.84,179.81,849.44,0.0
South Derbyshire District Council,36.480000000000004,861.36,4.67,1564.59,0.0,1.37,0.0,0.0,0.0,0.0,0.0,1.16,37.1,1098.46,7.74,1.01,8.18,0.0,0.0
Cotswold District Council,748.52,1050.51,151.87,1957.66,0.0,10.86,0.0,0.0,0.0,0.0,0.0,24.91,63.370000000000005,0.0,32.72,1.34,148.25,0.0,0.0
South Ribble Borough Council,1.89,998.8,0.0,1213.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,17.77,7.64,1609.0,16.77,0.0,0.0,0.0,0.0
Harborough District Council,0.0,517.707,0.038,1237.35,0.0,1.345,0.0,0.0,0.0,0.0,0.0,561.658,101.463,1918.5020000000002,1.172,0.0,0.033,0.0,0.0
Breckland Council,280.521,231.63,1.5,836.32,0.0,15.84,0.0,3.34,0.0,0.02,0.0,0.42,245.76600000000002,3145.92,49.29,0.0,18.08,0.0,0.0
Oldham MBC,0.0,1999.08,0.0,1994.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.92,0.0,0.0,0.0,0.0,0.0
Doncaster MBC,60.64,402.08600000000007,291.42,2373.85,984.52,382.26399999999995,8.588000000000001,19.0,0.0,78.82,5.458,4.475,122.641,4763.59,29.606,0.572,103.71000000000001,1526.44,0.0
Hounslow LB,895.23,1739.8,521.52,1604.72,861.7,121.44,10.17,0.0,0.0,14.44,7.430000000000001,825.31,198.04,38.54,61.1,112.3,544.2199999999999,110.36,0.0
