Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Sedgemoor District Council,674.662,1136.558,116.344,1991.61,0,0,1.34,0,0,0,0,44.897,0,39.355,15.103,0.524,208.47,0,0
Suffolk County Council,511.76,750.62,1087.484,2686.89,2633.37,1369.865,37.594,0,0,142.88,22.571,54.346,0,192.28,22.583,0.874,366.985,1784.92,0
Wigan MBC,18.41,250.12,280.86,4300.82,1032.49,348.62,12.3,16.67,0,70.76,5.92,41.49,6817.64,185.5,0,0,121.71,1211.36,36.25
Knowsley MBC,12.47,4.93,1.43,983.5,9.79,5.83,0,0.1,0,0,0,0,3025.46,24.34,0,8.14,0.14,0.31,0
Walsall MBC,0,155.46,137.62,3203.28,749.3,187.55,3.56,6.3,0,0,4,0,5698.9,40.78,0,0,0,439.4,0
Islington LB,0,76.565,67.84,1262.34,288.22,116.02,0,0,0,24.2,1.12,0,3417.19,85.896,53.485,0.4,13.2,303.56,0
West Berkshire District Council,1125.15,2376.23,239.08,4592.14,680.64,339.94,7.01,11.4,0,82.62,7.41,1.26,341.14,75.648,19.29,0.99,27.97,576.92,9.59
South Cambridgeshire District Council,0,905.41,0,4240.2,0,0.46,0,0,0,0,0,3.28,3214.92,8.48,0,0,3.95,0,0
Middlesbrough Borough Council,25.403,82.148,67.95,799.894,242.64,112.491,1.512,5.553,86.508,22.77,1.818,0,2357.338,5.465,0,30.42,7.719,533.123,0
Barrow-in-Furness Borough Council,0,189.24,0,576.48,0,0,0,0,0,0,0,0,1068.04,0,0,0,0,0,0
Torridge District Council,401.78,18.935,1.005,1302.36,0,2.051,0,0,0,0,0,189.32,744,4.902,6.949,0,0.272,0,0
Chelmsford Borough Council,921.68,1705.38,136.6,4401.75,0,0,0,0,0,0,0,0,0,16.36,0,0,349.2,0,0
Eastleigh Borough Council,811.32,0.17,0,1568.51,0,2.36,0,0,0,0,0,0,1932.14,74.45,0,0,0,0,0
Herefordshire Council,40.98,221.44,453.22,1557.5,621.66,134.28,11.89,7.78,0,83.12,3.04,0.4,4843.76,23.475,31.933,0.07,8.28,1046.48,0
Broxbourne Borough Council,435.08,868.98,5.4,1936.66,0,8.37,0,0,0,0,0,0,344.28,15.51,0,0,0,0,0
Kent County Council,327.83,1836.12,2340.49,5779.52,5627.01,1960.15,59.65,10.36,0,404.3,20.27,7.88,0,318.95,0,0.24,0,5481.39,0
Ashfield District Council,592.38,2.9,0,836.98,0,14.18,0,0,0,0,0,0,2038.06,8.31,0,0,1.28,0,0
Mid Suffolk District Council,979.77,164.654,65.815,2321.908,0,0,0,0,0,0,0,2.74,3493.24,34.056,0,0,0,11.94,0
Nuneaton and Bedworth Borough Council,28.256,1020.933,15.46,1982.54,0,14.145,0,0,0,0,0,0,1245.56,8.153,0,0,0,0,0
