,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Surrey County Council,152.0,1781.0,2161.0,12033.0,0.0,1972.0,77.0,124.0,0.0,317.0,45.0,103.0,722.0,0.0,0.0,210.0,152.0,7028.0,0.0
Manchester City Council MBC,29.87,3394.69,0.0,7859.38,0.0,67.56,0.0,0.0,0.0,0.0,0.0,0.0,221.64,3512.19,0.0,0.0,0.0,0.0,0.0
Barnsley MBC,1432.44,1990.2199999999998,549.9,6215.539999999999,576.7,295.66,5.800000000000001,0.0,0.0,36.4,5.91,0.0,100.1,0.0,0.0,432.48,0.69,957.9,0.0
Havering LB,392.68,217.26,150.42000000000002,3648.94,929.63,195.79,4.67,11.24,0.0,0.0,4.97,414.175,59.629999999999995,3391.2,4.42,42.25,0.0,77.13,0.97
Wealden District Council,527.793,12.048,0.0,4672.05,0.0,3.9400000000000004,0.0,0.0,0.0,0.0,0.0,0.06,33.214,3288.414,7.93,0.0,0.0,0.0,0.0
Uttlesford District Council,0.0,0.423,0.84,1563.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.281,22.165,2482.3,0.0,0.0,0.0,0.0,0.0
Stroud District Council,0.0,1191.1,18.16,25.92,0.0,37.26,0.0,0.0,0.0,0.0,0.0,46.31,112.69,1358.04,87.11,0.0,0.0,0.0,0.0
Test Valley Borough Council,568.22,2.34,0.393,860.06,0.0,7.42,0.0,0.0,0.0,0.0,0.0,0.0,107.17,2008.34,0.0,0.0,2.118,0.0,0.0
Welwyn Hatfield Council,45.99,619.18,3.24,3269.95,0.0,6.725,0.0,0.0,0.0,0.0,0.0,0.0,19.04,1546.06,0.0,5.4,0.0,0.0,0.0
York City Council,1219.8600000000001,2122.65,474.33,5861.52,928.48,243.57,6.68,0.0,0.0,10.26,2.46,0.0,95.08,0.0,0.0,561.3100000000001,2.39,322.08000000000004,0.0
Cherwell District Council,795.24,8.36,6.79,5712.6,0.0,14.97,2.09,0.0,0.0,0.0,0.0,104.25,164.41000000000003,2711.77,0.0,3.02,0.0,0.0,0.0
