Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Huntingdonshire District Council,0,2.07,0,0,4263.58,0,0,0,0,0,0,0,5.094,64.82,4324.709,0,0,0,0
Hartlepool Borough Council,24.06,49.11,63.96,36.38,659.33,286.7,117.62,1.81,2.71,57.48,8.02,0,63.13,6.61,1481.58,0,7.7,263.44,0
Stockton-on-Tees Borough Council,695.16,1312.93,235.37,264.66,601.62,335.06,163.98,0,26.23,0,0,2.88,0,11.29,0,0,24.36,3167.69,0
Cumbria County Council,31.2,575.396,700.2,50.48,981.32,1828.929,867.741,18.43,35.74,0,333.74,16.7,0,78.875,0,0,0,2836.7,0.176
Mid Devon District Council,453.41,775.41,80.55,156.12,1631.63,0,4.41,2.35,0,0,0,0,1.178,23.763,45.62,12.55,0,0,0
Brentwood Borough Council,456.56,0,8.43,0,1221.52,0,6.612,0,0,0,0,0,0,7.212,1414.07,32.59,0,0,0
Basingstoke and Deane Borough Council,1084.92,56.13,0.27,8.38,545.64,0,40.598,0,0,0,0,0,1.379,111.086,2292.42,57.388,0,0,0
Wychavon District Council,43.55,26.52,2.68,0,1231.52,0,8.92,0,0,0,0,0,0.35,43.76,3488.88,0,0,0,0
Tonbridge and Malling Borough Council,551.86,704.98,66.33,72.3,3227.69,0,43.35,0,0,0,0,0,0,28.92,0,0,0,0,0
Wellingborough Borough Council,26.692,7.34,10,2.7,959.66,53.12,22.023,0,0,0,49.96,0,0,218.148,2042.9,0,0,53.74,1.9
West Somerset District Council,268.365,394.407,44.228,70.6,485.52,0,0,0,0,0,0,0,29.329,18.97,0,7.693,0,0,0
Forest Heath District Council,242.44,42.195,0,0,733.04,0,0,0,0,0,0,0,0,32.208,936.29,0,0,0,0
Warwickshire County Council,68.57,880.34,703.24,40.74,1579.71,11.2,580.82,15.99,0.44,0,68.41,16.45,10.92,518.22,0,34.69,138.86,0,2.62
St Helens MBC,848.4,1359.6,268.1,253,2381.5,0,11,0,3.2,0,0,0,59.8,2.34,0,0,0,540.4,0
Gateshead MBC,0,959.21,179.89,71.67,1039.54,330.73,229.56,2.26,39.03,0,65,1.23,52.02,277.15,3194.95,0,0,478.45,0
Hammersmith and Fulham LB,0,37.09,31.93,6.51,124.2,0,88.89,1.81,0.04,0,0,0.5,0,157.34,2988.46,24.1,0.09,0,0
Wandsworth LB,0,64.21,47.64,0.24,306.26,0,95.38,2.13,0,0,0,0.85,0,107.56,5190.23,9.07,0.15,0.34,0
Slough Borough Council,0,29.5,141.17,0,1031.11,146.54,66.805,3.64,2,0,20.6,0,0,74.286,1922.6,0,63.92,54.96,10.865
Aylesbury Vale District Council,0,0,0,1.541,2912.21,0,0,0,2.18,0,0,0,0,51.39,4678.03,0,0,0,0
Peterborough City Council,8.17,87,170.34,0,3244.49,500.22,139.88,2.66,0,115.7,41.1,1.62,109.98,44.42,4351.7,0,0,117.44,0.52
Copeland Borough Council,333.74,475.54,61.81,66.17,583.1,0,6.03,0,0,0,0,0,0,2.42,0,0,0,0,0
Devon County Council,210.77,1262.221,1221.654,264.245,5258.99,3695.1,1732.764,40.938,6.185,0,99.58,22.297,371.409,669.173,0,0,230.41,596.55,0
Epping Forest Borough Council,61.02,18.96,0,0,3441.04,0,18.709,0,0,0,0,0,0,24.526,3294.17,8.75,0,0,0
Gosport Borough Council,262.22,36.91,0,0,57.98,0,2.14,0,0,0,0,0,0,59.6,1171.27,0,0,0,0
Malvern Hills District Council,211.48,90.59,0.8,0,440.1,0,2.14,0,0,0,0,0,0.18,27.9,1832.76,0,0,0,0
East Hertfordshire District Council,0,839.82,0,0,3224.38,0,7.94,0,0,0,0,0,0,13.19,2212.84,0,0,0,0
Canterbury City Council,0,1133.96,20.8,0,2654.25,0,4.39,0,0,0,0,0,0,15.84,1854.6,0,0,0,0
Blackpool Borough Council,93.47,1144.06,97.994,29.56,548.18,435.18,174.34,5.7,0,102.54,35.06,1.8,21.166,33.32,1434.29,0,0.24,161.86,1.16
Leicestershire County Council,73.24,784.204,769.616,277.836,3005.61,0,773.604,17.492,0,0,65.84,29.965,52.998,146.42,0,38.089,0,0,0
Blaby District Council,49.304,78.968,1.64,1.84,1091.98,0,9.293,0.941,0,0,0,0,1.263,45.167,2124.834,18.58,0,0,0
Broxtowe Borough Council,478.967,1.714,0,0,1344.52,0,0,0,0,0,0,0,0,11.315,1840.48,0,0.442,0,0
Suffolk Coastal District Council,793.78,37.18,161.72,0,3343.19,44.22,0.28,7.74,2.64,0,2.8,0,21.34,57.02,2477.84,0,0,0,0
Stratford-on-Avon District Council,0,0,0,0,4227.88,0,4.66,1.041,0,0,0,0,1.44,3.376,3585.92,0,0,0,0
Sunderland City Council,0,927.5,129.61,51.59,1306.64,0,141.31,0.8,9.8,0,38.28,2.17,70.65,274.84,3712.13,0,0,754.53,0
Kirklees MBC,1264.76,290.99,344.51,8.34,2520.02,974.88,253.7,7.55,17.5,0,133.7,6.25,14.94,43.82,5419.46,0,0.71,825.96,14.17
Wycombe District Council,53.2,2845.05,0,0,5945.38,0,7.1,0,0,0,0,0,0,40.56,2841.38,0,0,0,0
Portsmouth City Council,523.82,134.86,228.63,32.39,798.73,139.59,96.54,4.38,0,28.03,10.46,3,79.52,87.9,2189.96,0,0,106.75,0
Stevenage Borough Council,421.98,741.84,0,0,1229.82,0,10.343,0,0,0,0,0,0,13.672,275.878,0,0,0,0
Gravesham Borough Council,259.06,25.65,6.02,0,1077.12,0,17.28,0,0,0,0,0,0,17.36,1454.72,0,0,0,0
Hinckley and Bosworth Borough Council,54.88,1071.22,0,3.1,1617.124,0,11.091,0,0,0,0,0,6.29,3.011,1157.1,33.925,0,0,0
Broadland District Council,7.426,10.763,0.123,0.122,2639.88,0,9.74,0,3.3,0,0,0,0,6.375,2905.261,0,0,0,0
Northamptonshire County Council,61.24,850.58,861.791,192.762,2292.52,0,893.49,37.398,7.02,0,297.99,27.682,342.54,154.59,0,0,0.51,2465.01,60.39
Lichfield District Council,2.86,0,0,0,2251.99,0,0,0,0,0,0,0,4.28,16.438,2791.1,0,0,0,0
Elmbridge Borough Council,0,5.26,0,0,3502.34,0,13.21,0,0,0,0,0,0,35.32,3477.94,0,0.45,0,0
City of London,0,0,0,0,64.24,0,7.19,0,0,0,0,0,15.84,7.83,204.32,0,0,0,0
Royal Borough of Kensington and Chelsea,0,47.54,35.75,0.18,243.66,0,81.52,1.61,0,0,0,0.64,0,45.62,4349.49,3.47,0.1,0,0
Darlington Borough Council,482.78,912.4,63.06,9.53,763.14,282.08,84.04,0,10,0,27.54,0,0,61.91,471.76,30.15,0,797.7,0
Winchester City Council,370.9,2.43,0,0,1037.01,0,3.22,0,0,0,0,0,0,50.91,1979.8,0,0,0,0
Shepway District Council,0,769.26,0,0,1421.42,0,5.88,0,0,0,0,0,0,18.97,1358.17,0,0,0,0
Oadby and Wigston Borough Council,201.08,463.02,37.62,80.8,661,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0
South Norfolk Council,149.62,10.94,0.12,0,2012,0,13.17,0.8,3.8,0,0,0,2.556,47.26,3228.14,0,0,0,0
Kettering Borough Council,0,552.025,0,0,1909.3,0,0,0,0,0,0,0,0,23.481,2099.2,0,0,0,0
