Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Barnsley MBC,1639.48,1844.42,610.807,464.04,6956.52,935.92,344.625,4.946,0,0,32.14,7.572,6.64,98.967,0,0,0.477,1078.98,0
Havering LB,481.96,167.13,247.18,56.49,4722.45,754.16,246.61,13.3,4.47,0,37.94,6.75,0,62.04,3406.82,2.02,0,736.73,0
Wealden District Council,520.26,5.155,0,0,5344.1,0,2.66,0,0,0,0,0,0.405,29.179,3453.9,0,0,0,0
Uttlesford District Council,0,0,0.48,0,1851.45,0,0,0,0,0,0,0,0,15.793,2383.02,0,0,0,0
Stroud District Council,0,1272.88,3.34,0,684.72,0,18.8,0,0,0,0,0,32.73,68.94,1552.66,72.33,0,0,0
Test Valley Borough Council,642.26,0.95,5.73,0,1287.16,0,8.82,0,0,0,0,0,0,102.225,2051.99,0,1.555,0,0
Welwyn Hatfield Council,40.68,514.02,0,0,3602.92,0,9.73,0,0,0,0,0,0,18,1685.96,0,0,0,0
York City Council,128.993,445.476,333.087,153.295,6229.222,1035.55,311.3,8.54,0,0,14.56,3.6,0,86.12,3560.9,0,0.89,0,0
Cherwell District Council,650.28,1.81,3.33,0,6465.4,0,0,2.41,0,0,0,0,0,87.64,2727.36,0,0,0,0
Telford and Wrekin Council,13.18,1623.2,204.11,15.36,5652.92,783.64,180.9,6.9,16.22,415.6,51.12,7.29,76,48.61,2333.58,0,0.54,858.06,44.52
South Staffordshire Council,9.6,24.84,0,0,4613.44,0,0,0,0,0,0,0,0,4.23,2724.68,0,0,0,0
Mole Valley District Council,0,38.38,0,0,2772.26,0,7.78,0,0,0,0,0,0,9.07,2536.39,0,0,0,0
Arun District Council,0,0,0,0,2516.42,0,12.42,0,0,0,0,0,0,38.98,3532.52,0,0,0,0
Stockport MBC,0,3314.12,0,0,10937.72,0,10.68,0,0,0,0,0,0,20.1,3245.04,0,0,0,0
Dudley MBC,1505.902,2521.018,231.468,12.02,10149.74,300.6,178.141,7.252,8.18,0,51.9,5.49,31.137,51.613,813.938,0,216.58,964.08,0
Lewisham LB,0,37.13,8.08,15.12,612.42,121.72,75.799,2.407,0,0,0,0,243.43,40.816,4249.59,0,74.85,250.82,0
North Somerset Council,1425.07,2677.05,715.07,695.37,8080.35,1853.82,405.69,7.28,2.13,0,89.84,12.7,19.38,77.04,0,0,0,1134.75,109
Fenland District Council,50.427,26.522,0,0,4112.64,0,0,0,0,0,0,0,3.983,70.055,2306.454,0,0,0,0
Halton Borough Council,11.98,159.21,215.2,108.27,2312.72,795.94,174.53,8.32,9.46,0,44.1,5.17,63.63,176.3,2481.4,0,40,750.62,3.97
Derbyshire County Council,87.31,735.98,1202.2,310.49,3894.84,3629.24,1261.43,42.71,75.38,0,229.42,35.69,279.25,237.92,0,0,1.13,2577.99,0
Southend-on-Sea Borough Council,4.58,285.96,222.62,0,4204.86,747.03,250.623,7.43,0,0,25.54,3.81,8.1,54.61,3807.15,0,0,570.14,0
Worcester City Council,28.22,15.86,4.03,0,628.9,0,2.94,0,0,0,0,0,0.83,68.14,2442.12,17.13,0,0,0
Chorley Borough Council,38.53,860.21,0,0,3478.7,0,44.79,0,0,0,0,0,0,7.11,1698.2,5.3,0.56,0,0
East Lindsey District Council,554.67,0.37,0,0,4692.54,0,0,0,0,0,0,0,0,59.261,2624.02,0,0,0,0
West Oxfordshire District Council,324.19,100.88,5.28,19.19,5082.62,0,0,0,0,0,0,0,0,49.82,2674.16,0,0,0,0
Taunton Deane Borough Council,715.589,1139.653,121.839,155.67,2691.66,0,0,0.56,0,0,0,0,49.218,40.435,0,11.621,0,0,0
Surrey Heath Borough Council,45.81,32.81,8.58,14.12,2058.1,0,8.12,0,0.32,0,0,0,0,63.25,2458.8,0,0,0,0
Mid Sussex District Council,0,0,0,0,1857.72,0,7.62,0,0,0,0,0,0,12.49,3353.8,0,0,0,0
Wolverhampton MBC,0,138.09,209.16,10.04,9161.15,1211.8,192.72,0,18.18,0,99.08,4.4,0,28.74,4569.38,0,0,836.5,0
Bexley LB,793,2772,407,0,6952,1404,276,6,9,0,32,8,313,434,1684,0,105,1437,0
