Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Hackney LB,406.23,111.29,86.86,1259.64,76.28,86.18,0,2.98,0,0,0,3.35,130.03,4207.42,16.56,103.38,0,0,0
Waltham Forest LB,0,105.97,78.8,1371.22,600.52,146.38,0,3.76,0,31.78,4.38,200.35,144.06,5163.07,29.4,0.02,11.44,785.38,8.04
East Cambridgeshire District Council,41.479,20.52,0,1443.58,0,0,0,0,0,0,0,25.042,5.618,2018.62,0,0,1.6,0,0
Redcar and Cleveland Borough Council,12.96,789.74,38.711,727.995,419.89,73.084,0,15.716,0,17.96,0,42.97,18.063,2370.52,0,38.24,22.76,571.86,0.4
South Hams District Council,515.9,1171.91,20.54,1751.51,0.76,4.69,0,0,0,0,0,180.8,50.981,212.06,39.4,2.66,0,0,0
Basildon District Council,1046.094,39.967,26.6,2831.7,192.14,48.611,0,2.241,0,0,0.167,182.18,47.7,3898.07,0,0,0.987,0,0
Kingston-upon-Hull City Council,9.51,268.75,224.71,2572.1,1035.5,339.42,9.39,10.06,0,90.56,1.26,0.03,152.95,5727.87,0,0.35,2.15,1044.74,0
Swale Borough Council,46.98,141.5,0,1121.33,0,5.02,0,0,0,0,0,0,24.69,3321.19,18.05,0,0,0,0
Rutland County Council,25,98.99,1.3,600.18,157.57,142.89,2.36,2.64,0,12.42,0,0.13,12.61,1049.76,11.58,53.57,22.42,222,0.39
Kings Lynn and West Norfolk Borough Council,135.67,172.03,1.85,1807.13,0,8.2,0,4.87,0,0.44,0,0,214.06,3466.84,20.5,0,0,0,0
Northampton Borough Council,1277.89,2176.68,335.55,2137.47,0,0,0,0,0,0,0,28.41,13.43,0,9.17,0,463.4,0,0
Vale of White Horse District Council,0,3.025,0,1996.52,0,1.386,0,0,0,0,0,246.79,37.66,4044.19,0,0,0,0,0
Sedgemoor District Council,746.86,1194.375,165.544,1389.27,0,0,0.54,0,0,0,0,34.308,44.139,0,17.705,1.071,157.047,0,0
Suffolk County Council,569.96,714.316,1097.277,1583.956,2640.6,1363.159,52.821,0,0,114.34,21.161,26.144,219.62,0,49.393,4.543,413.82,1676.16,0
Wigan MBC,29.77,259.27,288.03,2832.4,1276.02,379.6,13.187,18.18,0,59.4,4.858,35.99,174.17,7011.5,0,0,159.84,1251.42,40.94
Knowsley MBC,13.42,9.04,1.18,548.38,1.7,8.4,0,0,0,0,0,0,30.06,3102.36,0,1.31,0,0,0
Walsall MBC,0,152.38,141.63,664.94,725.86,201.08,11.19,6.22,0,0,2.71,0,17.78,5656.26,0,0,13.079,497.03,0
Islington LB,5.02,82.92,65.6,919.9,302.98,123.66,3.7,0,0,24.32,0.74,104.38,89.32,3730.69,55.65,0.38,20.28,288.46,0
West Berkshire District Council,1190.7,2326.54,240.71,2638.8,726.5,325.3,31.76,17.33,0,58.1,4.77,1.64,150.28,348.84,19.48,2.75,35.92,530.8,10.83
South Cambridgeshire District Council,0,967.42,0,2765.24,0,0.37,0,0,0,0,0,4.44,8.578,3312.16,0,0,4.6,0,0
Middlesbrough Borough Council,303.749,1700.107,182.444,141.94,439.016,193.446,1.404,6.75,105.273,19.251,1.629,0,8.421,0,0,32.067,311.936,1338.058,0
Barrow-in-Furness Borough Council,0,231.22,0,390.1,0,0,0,0,0,0,0,117.178,0,1157.24,0,0,0,0,0
Torridge District Council,453.969,617.234,77.24,931.203,0,18.561,0.503,0,0,0,0,281.742,20.776,0,6.252,0,126.495,0,0
