Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Cheltenham Borough Council,756.92,1140.57,181.51,2977.06,399.01,163.01,5.2,0,0,0,4.15,28.88,84.61,56.58,124.25,37.57,3.06,0,0
New Forest District Council,1335.03,160.54,0,984.58,0,14.92,0,0,0,0,0,0,125.89,2502.38,0,0,0,0,0
St Albans City and District Council,936.92,1557.76,0,4462.57,0,8.65,0,0,0,0,0,0,14.92,463.17,0,0,1.85,0,0
North East Lincolnshire Council,665.432,1035.518,147.934,3974.96,702.9,247.22,4.02,0,0,20.8,2.7,0,26.454,315.105,3.35,0,0,152.96,0
Rossendale Borough Council,0,507.191,0,923.57,0,0.16,0,0,0,0,0,0,13.843,909.74,0,0.33,0,0,0
Newark and Sherwood District Council,439.88,1.65,0,766.72,0,0,0,0,0,0,0,4.4,9.27,1954.12,0,0,0.9,0,0
East Staffordshire Borough Council,4.543,470.762,6.868,4339.14,0,0,0,0,0,0,0,0,12.499,2215.82,0.218,9.561,0,0,0
Surrey County Council,113,1797,2453,12858,112,1971,80,72,0,389,36,160,783,0,44,0,128,8585,0
Manchester City Council MBC,14.39,3328.46,0,8543.72,0,83.4,0,0,0,0,0,0,106.04,3600.58,0,0,0,0,0
Barnsley MBC,1577.84,1941.81,567.826,6674.07,884.12,327.988,5.794,0,0,25.62,8.752,3.64,109.78,0,440.32,0,0.643,1075.7,0
Havering LB,454.822,166.8,242.212,4176.2,927.43,238.76,14.06,6.78,0,0,6.48,0,47.68,3157.2,48.964,4.57,1.11,835.3,0
Wealden District Council,737.02,0,0,4935.41,0,2.76,0,0,0,0,0,0,0,3097.43,0,8.67,0,0,0
Uttlesford District Council,0,0,1.86,1650.721,0,0,0,0,0,0,0,0,11.928,2211.337,0,0,0,0,0
Stroud District Council,0,1231.97,12.36,44.16,0,37.02,0,0,0,0,0,31.9,92.71,1419.02,0,50.55,0,0,0
