,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Hackney LB,394.96999999999997,289.04,59.18,1540.74,77.58,67.5,0.0,1.92,0.0,0.0,0.0,47.22,49.92,3855.2799999999997,11.46,0.0,48.47,0.0,0.0
Waltham Forest LB,6.12,113.25,104.92,3954.62,681.52,148.78,4.82,0.0,0.0,43.62,4.5,38.010000000000005,96.64,5086.83,45.89,12.8,0.12,1122.38,11.32
East Cambridgeshire District Council,33.528999999999996,20.66,0.936,3260.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998,5.363,1958.05,0.0,1.774,0.0,0.0,0.0
Redcar and Cleveland Borough Council,19.26,782.3600000000001,113.32799999999999,4152.110000000001,581.85,99.738,0.0,20.273,0.0,0.0,0.0,31.405,11.668,2123.41,0.0,31.439999999999998,32.62,1231.06,0.0
South Hams District Council,574.91,1132.45,25.22,3211.03,1.16,8.61,0.0,0.0,0.0,0.0,0.0,150.36,47.33,227.33,38.75,0.0,4.0,0.0,0.0
Basildon District Council,1023.89,50.64,11.72,6889.04,275.39,36.23,0.0,2.28,0.0,0.0,0.17,244.22,35.49,3500.74,0.0,0.0,0.0,0.0,0.0
Kingston-upon-Hull City Council,5.98,265.32,263.0,6699.58,1379.16,333.78999999999996,8.32,11.06,0.0,84.69,2.89,0.44,143.12,5346.04,0.0,1.44,0.35,2199.92,0.0
Swale Borough Council,43.510000000000005,146.63,0.0,1992.8000000000002,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,21.88,3400.06,22.18,0.0,0.0,0.0,0.0
Rutland County Council,41.652,101.28399999999999,2.315,2040.56,214.03,131.63,11.98,1.97,0.0,9.68,0.0,0.0,11.445,980.8,7.339,31.65,37.79,302.66,0.0
Kings Lynn and West Norfolk Borough Council,459.218,10.96,0.0,3826.96,0.0,8.5,0.0,6.81,0.0,0.28,0.0,0.0,38.04,2567.52,0.0,0.0,0.0,0.0,0.0
Northampton Borough Council,1257.61,2128.2200000000003,284.57,6196.110000000001,0.0,0.0,0.0,0.0,0.0,86.58,0.0,24.05,11.84,0.0,9.18,528.48,0.0,0.0,0.0
Vale of White Horse District Council,0.0,3.795,0.0,3860.17,0.0,2.683,0.737,0.0,0.0,0.0,0.0,174.04,42.845,3489.05,0.0,0.0,0.0,0.0,0.0
